PLAYER;TEAM;AGE;GP;G;FREQ;FGM;FGA;FG%;EFG%;2FG FREQ;2FGM;2FGA;2FG%;3FG FREQ;3PM;3PA;3P%;NONE
Luka Doncic;DAL;24;45;45;100;11.6;23.7;49.1;57.5;56.1;7.7;13.3;57.8;43.9;4.0;10.4;38.1;
Joel Embiid;PHI;29;34;34;100;11.8;22.2;53.3;56.0;85.1;10.6;18.9;56.3;14.9;1.2;3.3;36.8;
Donovan Mitchell;CLE;27;42;42;100;9.9;20.9;47.5;55.5;56.1;6.6;11.7;56.5;43.9;3.3;9.2;36.1;
De'Aaron Fox;SAC;26;46;46;100;9.4;20.3;46.5;53.6;62.0;6.5;12.6;51.9;38.0;2.9;7.7;37.5;
Jalen Brunson;NYK;27;50;50;100;9.7;20.1;48.4;54.9;68.0;7.1;13.7;52.0;32.0;2.6;6.4;40.7;
Shai Gilgeous-Alexander;OKC;25;52;52;100;10.9;20.0;54.8;57.8;83.3;9.7;16.6;58.4;16.7;1.2;3.4;36.7;
Tyrese Maxey;PHI;23;47;47;100;8.9;19.8;44.8;52.6;59.0;5.8;11.7;49.6;41.0;3.1;8.1;38.1;
Kyrie Irving;DAL;31;31;31;100;9.4;19.6;48.3;55.7;64.4;6.5;12.6;51.9;35.6;2.9;7.0;41.6;
Trae Young;ATL;25;48;48;100;8.5;19.6;43.3;52.0;54.3;5.1;10.6;47.8;45.7;3.4;8.9;38.0;
Devin Booker;PHX;27;42;42;100;9.8;19.5;50.2;56.1;69.4;7.5;13.5;55.5;30.6;2.3;6.0;38.5;
Jayson Tatum;BOS;25;50;50;100;9.2;19.4;47.4;55.3;56.7;6.2;11.0;56.0;43.3;3.0;8.4;36.2;
LaMelo Ball;CHA;22;22;22;100;8.3;19.2;43.3;51.5;53.4;5.1;10.3;50.0;46.6;3.2;8.9;35.5;
Anthony Edwards;MIN;22;49;49;100;8.9;19.2;46.5;53.2;65.8;6.3;12.6;50.4;34.2;2.6;6.5;39.2;
Kevin Durant;PHX;35;46;46;100;10.3;19.1;53.6;59.5;73.2;8.0;14.0;56.9;26.8;2.3;5.1;44.4;
Stephen Curry;GSW;35;47;47;100;8.8;19.0;46.3;59.0;39.9;4.0;7.6;52.4;60.1;4.8;11.4;42.3;
Giannis Antetokounmpo;MIL;29;51;51;100;11.5;18.9;60.8;62.0;90.5;11.0;17.1;64.6;9.5;0.5;1.8;25.0;
Ja Morant;MEM;24;9;9;100;8.9;18.9;47.1;51.2;70.0;7.3;13.2;55.4;30.0;1.6;5.7;27.5;
Desmond Bane;MEM;25;37;37;100;8.9;18.8;47.4;56.3;54.0;5.6;10.2;55.0;46.0;3.3;8.7;38.4;
Kyle Kuzma;WAS;28;51;51;100;8.5;18.7;45.6;51.7;63.3;6.2;11.8;52.8;36.7;2.3;6.8;33.2;
Cade Cunningham;DET;22;42;42;100;8.3;18.6;44.8;49.6;71.7;6.5;13.3;49.1;28.3;1.8;5.3;34.0;
Anfernee Simons;POR;24;29;29;100;8.1;18.3;44.2;53.5;52.1;4.7;9.6;49.1;47.9;3.4;8.8;38.8;
Tyler Herro;MIA;24;32;33;100;8.0;18.1;44.3;53.7;54.3;4.6;9.8;47.1;45.7;3.4;8.3;41.2;
Julius Randle;NYK;29;46;46;100;8.5;18.0;47.3;51.9;70.6;6.8;12.7;53.9;29.4;1.6;5.3;31.2;
Miles Bridges;CHA;25;41;41;100;8.2;17.8;46.4;53.3;62.8;5.8;11.2;51.7;37.2;2.5;6.6;37.2;
Paolo Banchero;ORL;21;53;53;100;8.1;17.8;45.3;49.5;76.6;6.6;13.6;48.2;23.4;1.5;4.2;35.9;
Dejounte Murray;ATL;27;50;50;100;8.2;17.6;46.6;53.1;64.7;5.9;11.4;51.8;35.3;2.3;6.2;37.0;
LeBron James;LAL;39;47;47;100;9.1;17.6;51.5;57.3;69.9;7.0;12.3;57.2;30.1;2.0;5.3;38.1;
Nikola Jokic;DEN;28;50;50;100;10.2;17.5;58.0;61.0;83.3;9.1;14.6;62.5;16.7;1.0;2.9;35.6;
Damian Lillard;MIL;33;48;48;100;7.4;17.4;42.6;51.1;51.1;4.5;8.9;50.3;48.9;2.9;8.5;34.6;
Cam Thomas;BKN;22;42;42;100;7.7;17.4;44.3;50.1;68.2;5.7;11.8;47.9;31.8;2.0;5.5;36.6;
Jaylen Brown;BOS;27;49;49;100;8.6;17.3;49.5;55.2;67.1;6.6;11.6;56.9;32.9;2.0;5.7;34.6;
Jaren Jackson Jr.;MEM;24;49;49;100;7.7;17.2;44.8;50.1;67.4;5.9;11.6;50.9;32.6;1.8;5.6;32.4;
Paul George;LAC;33;48;48;100;7.8;17.0;45.6;55.2;51.7;4.5;8.8;51.1;48.3;3.3;8.2;39.7;
Terry Rozier;MIA;29;40;40;100;7.5;16.9;44.0;51.0;58.8;5.1;9.9;51.3;41.2;2.4;7.0;33.7;
Mikal Bridges;BKN;27;51;51;100;7.7;16.9;45.3;53.0;58.9;5.1;10.0;50.8;41.1;2.6;7.0;37.5;
Kawhi Leonard;LAC;32;47;47;100;8.9;16.9;52.5;59.3;69.8;6.6;11.8;55.7;30.2;2.3;5.1;45.0;
Anthony Davis;LAL;30;49;49;100;9.4;16.8;55.8;56.9;93.3;9.0;15.7;57.6;6.7;0.3;1.1;31.2;
Jamal Murray;DEN;26;38;38;100;7.8;16.7;46.8;54.0;64.1;5.4;10.7;50.3;35.9;2.4;6.0;40.5;
DeMar DeRozan;CHI;34;51;51;100;7.8;16.6;46.8;49.6;83.0;6.8;13.8;49.3;17.0;1.0;2.8;34.0;
Brandon Ingram;NOP;26;48;48;100;8.2;16.6;49.4;53.6;76.5;6.8;12.7;53.3;23.5;1.4;3.9;36.4;
Franz Wagner;ORL;22;45;45;100;7.9;16.4;48.0;53.1;68.5;6.2;11.2;55.3;31.5;1.7;5.2;32.4;
Jerami Grant;POR;29;45;45;100;7.4;16.1;46.1;52.6;68.0;5.3;11.0;48.6;32.0;2.1;5.2;40.5;
Lauri Markkanen;UTA;26;43;43;100;8.0;16.0;50.1;60.3;49.9;4.8;8.0;59.8;50.1;3.3;8.0;40.6;
Victor Wembanyama;SAS;20;47;47;100;7.4;16.0;46.3;51.2;69.4;5.8;11.1;52.8;30.6;1.6;4.9;31.7;
Tyrese Haliburton;IND;23;41;41;100;7.9;15.9;49.6;59.4;50.5;4.8;8.0;59.4;49.5;3.1;7.8;39.7;
Pascal Siakam;IND;29;52;52;100;8.5;15.9;53.5;57.3;77.6;7.3;12.3;59.1;22.4;1.2;3.6;34.0;
Nikola Vucevic;CHI;33;48;48;100;7.5;15.8;47.6;51.2;73.6;6.3;11.6;54.7;26.4;1.1;4.2;27.6;
Karl-Anthony Towns;MIN;28;51;51;100;8.1;15.7;51.6;58.9;66.7;5.8;10.5;55.2;33.3;2.3;5.2;44.1;
Scottie Barnes;TOR;22;53;53;100;7.4;15.6;47.5;53.4;67.3;5.6;10.5;53.2;32.7;1.8;5.1;35.8;
Alperen Sengun;HOU;21;51;51;100;8.4;15.6;54.0;55.7;87.8;7.9;13.7;57.4;12.2;0.6;1.9;28.9;
Jalen Green;HOU;22;52;52;100;6.3;15.2;41.5;48.4;56.8;4.3;8.7;49.1;43.2;2.1;6.6;31.6;
Zion Williamson;NOP;23;41;41;100;8.8;15.1;58.5;58.8;98.2;8.7;14.8;58.9;1.8;0.1;0.3;37.0;
Coby White;CHI;23;53;53;100;6.9;15.0;45.9;55.3;52.1;4.1;7.8;51.9;47.9;2.8;7.2;39.4;
Bojan Bogdanovic;NYK;34;29;29;100;7.0;15.0;46.4;56.6;51.0;3.9;7.7;51.3;49.0;3.0;7.3;41.3;
Zach LaVine;CHI;28;25;25;100;6.8;15.0;45.3;53.2;54.9;4.4;8.2;53.9;45.1;2.4;6.8;34.9;
Bam Adebayo;MIA;26;42;42;100;7.5;14.9;50.3;50.4;98.2;7.5;14.7;51.1;1.8;0.0;0.3;7.7;
Jordan Clarkson;UTA;31;43;43;100;6.2;14.9;41.5;47.0;62.4;4.6;9.3;49.0;37.6;1.6;5.6;29.1;
Devin Vassell;SAS;23;48;48;100;7.0;14.9;46.8;55.0;54.6;4.5;8.1;55.4;45.4;2.5;6.8;36.4;
CJ McCollum;NOP;32;38;38;100;7.0;14.8;46.9;58.6;45.1;3.5;6.7;51.9;54.9;3.5;8.1;42.7;
Bradley Beal;PHX;30;28;29;100;7.1;14.6;48.5;54.1;68.5;5.5;10.0;54.4;31.5;1.6;4.6;35.6;
RJ Barrett;TOR;23;43;43;100;6.9;14.6;47.2;52.6;69.5;5.3;10.1;52.6;30.5;1.6;4.4;35.1;
Darius Garland;CLE;24;27;27;100;6.7;14.3;47.0;52.6;66.0;5.1;9.4;54.3;34.0;1.6;4.8;32.8;
Tim Hardaway Jr.;DAL;31;50;49;100;5.9;14.1;41.6;52.8;39.0;2.7;5.5;49.3;61.0;3.2;8.6;36.7
Jordan Poole;WAS;24;50;50;100;5.7;14.0;40.5;47.2;54.8;3.8;7.7;49.1;45.2;1.9;6.3;30.0
Bogdan Bogdanovic;ATL;31;51;51;100;6.0;14.0;42.7;53.6;40.3;2.9;5.7;51.3;59.7;3.1;8.4;36.8
Brandon Miller;CHA;21;46;46;100;6.2;14.0;44.4;52.6;57.0;3.9;8.0;48.9;43.0;2.3;6.0;38.3
Klay Thompson;GSW;34;47;47;100;5.8;13.9;41.6;52.8;40.0;2.6;5.5;47.6;60.0;3.1;8.3;37.6
Jalen Williams;OKC;22;47;47;100;7.4;13.7;54.1;59.5;76.2;5.9;10.4;57.0;23.8;1.5;3.3;45.1
Shaedon Sharpe;POR;20;32;32;100;5.5;13.6;40.6;47.5;58.5;3.6;7.9;45.7;41.5;1.9;5.6;33.4
D'Angelo Russell;LAL;27;48;48;100;6.3;13.5;46.5;56.2;53.1;3.6;7.2;50.8;46.9;2.6;6.3;41.7
Fred VanVleet;HOU;29;47;47;100;5.5;13.5;40.9;51.6;43.0;2.6;5.8;45.6;57.0;2.9;7.7;37.4
Jimmy Butler;MIA;34;37;37;100;6.7;13.3;50.0;53.7;83.2;5.7;11.1;51.1;16.8;1.0;2.2;44.6
Tobias Harris;PHI;31;48;48;100;6.7;13.3;50.6;54.9;74.8;5.6;9.9;56.1;25.2;1.1;3.4;34.3
Keldon Johnson;SAS;24;49;49;100;6.0;13.2;45.3;51.9;60.9;4.2;8.1;52.6;39.1;1.8;5.2;34.0
Michael Porter Jr.;DEN;25;51;51;100;6.2;13.1;47.1;57.5;47.3;3.5;6.2;55.8;52.7;2.7;6.9;39.4
Kristaps Porzingis;BOS;28;39;39;100;6.8;12.9;52.9;59.9;60.8;5.0;7.8;63.7;39.2;1.8;5.0;36.0
Domantas Sabonis;SAC;27;52;52;100;8.0;12.8;62.3;64.2;91.1;7.5;11.7;64.0;8.9;0.5;1.1;44.2
Malcolm Brogdon;POR;31;39;39;100;5.6;12.7;44.0;52.2;59.9;3.5;7.6;45.8;40.1;2.1;5.1;41.2
Caris LeVert;CLE;29;41;41;100;5.4;12.5;42.8;49.8;58.9;3.6;7.4;48.8;41.1;1.8;5.2;34.2
Keegan Murray;SAC;23;48;48;100;5.7;12.3;46.4;55.5;48.7;3.5;6.0;57.7;51.3;2.3;6.3;35.7
Collin Sexton;UTA;25;53;53;100;5.9;12.3;48.2;54.5;67.4;4.4;8.3;52.9;32.6;1.6;4.0;38.8
Immanuel Quickley;TOR;24;48;48;100;5.3;12.1;43.7;53.5;53.0;2.9;6.4;45.3;47.0;2.4;5.7;42.0
Jaden Ivey;DET;21;48;48;100;5.5;11.9;46.3;53.1;64.0;3.9;7.6;51.4;36.0;1.6;4.3;37.3
Gordon Hayward;OKC;33;25;25;100;5.6;11.9;46.8;50.5;79.5;4.7;9.4;49.6;20.5;0.9;2.4;36.1
Marcus Smart;MEM;29;20;20;100;5.1;11.8;43.0;51.9;43.5;3.0;5.2;58.3;56.5;2.1;6.7;31.3
Myles Turner;IND;27;51;51;100;6.2;11.8;52.2;57.9;65.9;4.8;7.8;61.5;34.1;1.4;4.0;33.9
Chet Holmgren;OKC;21;53;53;100;6.3;11.8;53.6;60.7;64.0;4.7;7.6;61.6;36.0;1.7;4.3;39.4
Scoot Henderson;POR;20;41;41;100;4.4;11.8;37.3;42.6;66.6;3.2;7.9;40.2;33.4;1.2;4.0;31.4
Jalen Johnson;ATL;22;39;39;100;6.2;11.8;52.5;57.6;71.7;5.0;8.4;58.9;28.3;1.2;3.3;36.3
Malik Monk;SAC;26;51;51;100;5.3;11.7;45.0;54.9;48.2;2.9;5.6;51.9;51.8;2.3;6.1;38.4
OG Anunoby;NYK;26;41;41;100;5.8;11.7;49.8;58.8;52.5;3.7;6.1;60.6;47.5;2.1;5.5;37.9
Derrick White;BOS;29;49;49;100;5.3;11.6;45.6;56.8;42.6;2.7;5.0;54.2;57.4;2.6;6.7;39.1
Deandre Ayton;POR;25;35;35;100;6.4;11.6;55.6;55.6;100;6.4;11.6;55.6;0.0;0.0;0.0;
Khris Middleton;MIL;32;43;43;100;5.6;11.6;48.7;56.0;61.2;3.9;7.1;55.6;38.8;1.7;4.5;37.9
P.J. Washington;DAL;25;45;44;100;5.2;11.5;44.9;52.6;52.2;3.4;6.0;56.5;47.8;1.8;5.5;32.3
Evan Mobley;CLE;22;28;28;100;6.6;11.4;58.5;59.7;93.4;6.4;10.6;59.9;6.6;0.3;0.8;38.7
James Harden;LAC;34;46;46;100;5.1;11.3;45.0;57.4;41.6;2.3;4.7;48.7;58.4;2.8;6.6;42.2
Cameron Johnson;BKN;27;39;39;100;5.1;11.3;45.4;56.2;45.4;2.7;5.1;52.0;54.6;2.5;6.2;39.8
Kelly Oubre Jr.;PHI;28;40;40;100;5.2;11.3;45.6;52.1;59.3;3.7;6.7;54.9;40.7;1.5;4.6;32.2
Dillon Brooks;HOU;28;43;43;100;5.0;11.1;45.1;53.8;55.8;3.1;6.2;49.6;44.2;1.9;4.9;39.3
Bennedict Mathurin;IND;21;51;51;100;5.0;11.1;45.3;51.0;69.2;3.8;7.7;49.0;30.8;1.3;3.4;36.7
Dennis Schroder;BKN;30;52;52;100;4.9;11.0;44.2;51.2;60.7;3.3;6.7;49.9;39.3;1.5;4.3;35.6
Austin Reaves;LAL;25;53;52;100;5.4;10.9;49.1;56.7;58.1;3.7;6.4;58.5;41.9;1.7;4.6;36.2
John Collins;UTA;26;49;49;100;5.7;10.9;52.1;57.7;67.9;4.5;7.4;60.6;32.1;1.2;3.5;34.2
Max Strus;CLE;27;51;51;100;4.4;10.9;40.7;51.8;34.1;2.0;3.7;54.4;65.9;2.4;7.2;33.6
Jonathan Kuminga;GSW;21;49;48;100;5.8;10.8;53.6;57.0;77.7;5.0;8.4;60.2;22.3;0.7;2.4;30.3
Saddiq Bey;ATL;24;52;52;100;4.5;10.8;42.2;50.5;47.8;2.8;5.1;53.6;52.2;1.8;5.6;31.9
Jrue Holiday;BOS;33;48;48;100;5.0;10.7;47.2;56.9;55.6;3.0;5.9;49.8;44.4;2.1;4.8;43.8
Jabari Smith Jr.;HOU;20;47;47;100;4.9;10.6;46.5;54.3;57.5;3.3;6.1;53.5;42.5;1.7;4.5;37.0
Tyus Jones;WAS;27;52;52;100;5.2;10.5;49.7;57.3;63.9;3.6;6.7;54.1;36.1;1.6;3.8;42.2
Andrew Wiggins;GSW;28;45;44;100;4.6;10.5;43.7;48.2;70.7;3.6;7.4;49.2;29.3;0.9;3.1;30.3
Josh Giddey;OKC;21;52;52;100;4.6;10.4;44.4;49.1;71.6;3.6;7.5;48.8;28.4;1.0;3.0;33.1
De'Andre Hunter;ATL;26;29;29;100;4.9;10.4;47.0;56.1;55.6;3.0;5.8;51.8;44.4;1.9;4.6;41.1
Spencer Dinwiddie;LAL;30;47;47;100;4.0;10.3;38.9;47.6;44.7;2.2;4.6;47.8;55.3;1.8;5.7;31.6
Donte DiVincenzo;NYK;27;53;53;100;4.7;10.3;45.9;60.3;30.8;1.7;3.1;55.2;69.2;3.0;7.1;41.7
Gary Trent Jr.;TOR;25;48;48;100;4.3;10.3;41.9;53.8;43.3;1.9;4.4;41.7;56.7;2.4;5.8;42.0
Buddy Hield;PHI;31;54;54;100;4.5;10.2;44.3;57.3;31.8;1.9;3.3;57.4;68.2;2.7;7.0;38.3
Bobby Portis;MIL;29;53;53;100;5.0;10.2;49.4;55.0;70.4;3.9;7.2;54.1;29.6;1.1;3.0;38.1
Jaime Jaquez Jr.;MIA;22;46;47;100;5.0;10.1;48.9;53.8;71.0;4.0;7.2;55.3;29.0;1.0;2.9;33.4
Brook Lopez;MIL;35;50;50;100;5.0;10.1;49.2;57.9;50.0;3.2;5.1;63.6;50.0;1.8;5.1;34.8
Jeremy Sochan;SAS;20;53;53;100;4.4;10.1;43.9;48.7;71.9;3.5;7.2;47.7;28.1;1.0;2.8;33.9
Duncan Robinson;MIA;29;47;47;100;4.6;10.0;45.6;59.1;32.4;1.9;3.3;56.7;67.6;2.7;6.8;40.1
De'Anthony Melton;PHI;25;33;33;100;3.9;9.9;39.4;50.2;41.3;1.8;4.1;43.8;58.7;2.1;5.8;36.4
Aaron Gordon;DEN;28;46;46;100;5.3;9.9;54.0;56.8;81.1;4.8;8.0;59.5;18.9;0.6;1.9;30.5
Jarrett Allen;CLE;25;46;46;100;6.3;9.8;64.5;64.5;99.1;6.3;9.8;65.1;0.9;0.0;0.1;0.0
Eric Gordon;PHX;35;45;45;100;4.5;9.8;46.0;58.5;36.1;2.1;3.6;58.7;63.9;2.4;6.3;38.8
Jalen Suggs;ORL;22;49;49;100;4.4;9.8;44.7;55.0;46.6;2.4;4.5;51.6;53.4;2.0;5.2;38.7
Trey Murphy III;NOP;23;27;27;100;4.3;9.8;44.3;57.4;29.2;1.8;2.9;62.5;70.8;2.6;6.9;36.9
Jalen Duren;DET;20;37;37;100;6.2;9.7;63.9;63.9;99.2;6.2;9.7;64.5;0.8;0.0;0.1;0.0
Russell Westbrook;LAC;35;51;51;100;4.5;9.7;46.7;50.2;75.9;3.8;7.3;52.1;24.1;0.7;2.3;29.6
Jonas Valanciunas;NOP;31;52;52;100;5.6;9.6;57.7;60.6;83.4;5.0;8.0;62.2;16.6;0.6;1.6;35.0
Alec Burks;NYK;32;44;44;100;3.8;9.6;39.8;52.0;39.5;1.4;3.8;38.5;60.5;2.3;5.8;40.6
Naz Reid;MIN;24;52;52;100;4.7;9.5;48.8;59.0;50.8;2.7;4.8;55.9;49.2;1.9;4.7;41.4
Talen Horton-Tucker;UTA;23;33;33;100;3.9;9.5;40.8;46.8;63.1;2.7;6.0;45.5;36.9;1.1;3.5;32.7
Norman Powell;LAC;30;51;51;100;4.7;9.4;49.4;60.2;51.5;2.6;4.9;54.1;48.5;2.0;4.6;44.4
Cole Anthony;ORL;23;52;52;100;4.1;9.4;43.3;49.0;64.9;3.0;6.1;49.0;35.1;1.1;3.3;32.6
Zach Collins;SAS;26;41;41;100;4.5;9.4;47.9;52.6;66.1;3.6;6.2;58.2;33.9;0.9;3.2;27.8
Reggie Jackson;DEN;33;52;52;100;4.3;9.4;46.2;53.3;63.2;3.0;5.9;50.7;36.8;1.3;3.4;38.7
Santi Aldama;MEM;23;41;40;100;4.0;9.3;43.3;52.5;47.8;2.3;4.5;52.5;52.2;1.7;4.9;35.0
Deni Avdija;WAS;23;52;52;100;4.8;9.3;51.6;57.2;71.0;3.7;6.6;56.5;29.0;1.1;2.7;39.4
Keyonte George;UTA;20;47;47;100;3.6;9.3;38.6;47.9;44.1;1.9;4.1;45.2;55.9;1.7;5.2;33.3
Cam Whitmore;HOU;19;28;27;100;4.4;9.1;47.8;57.3;53.3;2.6;4.9;54.3;46.7;1.7;4.3;40.2
Bruce Brown;TOR;27;45;45;100;4.2;9.1;46.3;51.0;69.9;3.4;6.3;53.1;30.1;0.8;2.7;30.8
Jusuf Nurkic;PHX;29;49;49;100;4.7;9.0;51.6;54.0;81.2;4.2;7.3;57.6;18.8;0.4;1.7;25.4
Kevin Huerter;SAC;25;50;49;100;4.1;9.0;45.0;56.3;38.4;2.0;3.5;58.4;61.6;2.0;5.6;36.7
Lonnie Walker IV;BKN;25;32;32;100;4.3;9.0;47.4;59.2;45.3;2.1;4.1;52.5;54.7;2.1;4.9;43.4
Malik Beasley;MIL;27;51;51;100;4.1;8.8;46.9;63.2;27.0;1.3;2.4;52.7;73.0;2.9;6.4;44.6
Caleb Martin;MIA;28;36;35;100;4.0;8.7;45.5;52.2;63.7;2.8;5.6;50.5;36.3;1.2;3.2;36.9
Nic Claxton;BKN;24;41;41;100;5.5;8.7;62.7;62.9;98.9;5.4;8.6;63.2;1.1;0.0;0.1;20.0
Aaron Nesmith;IND;24;49;49;100;4.5;8.7;51.9;64.2;46.7;2.4;4.1;58.4;53.3;2.1;4.6;46.2
Jaden McDaniels;MIN;23;42;42;100;4.4;8.7;51.1;58.4;60.7;3.2;5.3;60.3;39.3;1.3;3.4;37.1
Corey Kispert;WAS;24;51;50;100;4.2;8.7;48.4;59.5;38.0;2.3;3.3;69.0;62.0;1.9;5.4;35.8
Tari Eason;HOU;22;22;22;100;4.0;8.6;46.6;51.3;73.5;3.2;6.3;50.3;26.5;0.8;2.3;36.1
Harrison Barnes;SAC;31;52;52;100;4.1;8.6;47.9;58.8;44.9;2.2;3.9;57.9;55.1;1.9;4.7;39.7
Isaiah Stewart;DET;22;35;35;100;4.0;8.5;47.1;55.2;57.2;2.6;4.9;54.1;42.8;1.4;3.6;37.7
Rui Hachimura;LAL;26;39;38;100;4.2;8.5;49.4;56.1;64.8;3.0;5.5;55.6;35.2;1.1;3.0;38.0
Patrick Williams;CHI;22;43;43;100;3.7;8.3;44.3;52.5;58.8;2.3;4.9;47.5;41.2;1.4;3.4;39.8
Clint Capela;ATL;29;47;47;100;4.8;8.3;58.1;58.1;100;4.8;8.3;58.1;0.0;0.0;0.0;
Luguentz Dort;OKC;24;51;51;100;3.6;8.2;43.7;55.1;41.1;1.7;3.4;50.7;58.9;1.9;4.8;38.8
Markelle Fultz;ORL;25;20;20;100;4.0;8.2;49.4;49.7;95.7;4.0;7.8;51.0;4.3;0.1;0.3;14.3
Grayson Allen;PHX;28;46;47;100;4.1;8.1;50.7;65.4;38.6;1.7;3.1;55.0;61.4;2.4;5.0;48.0
Mike Conley;MIN;36;47;47;100;3.6;8.1;44.6;59.2;34.9;1.3;2.8;44.5;65.1;2.4;5.3;44.7
Brandin Podziemski;GSW;20;44;43;100;3.7;8.1;45.8;52.7;61.2;2.6;5.0;52.3;38.8;1.1;3.1;35.4
Josh Richardson;MIA;30;42;42;100;3.6;8.1;45.0;54.6;45.6;2.1;3.7;56.4;54.4;1.6;4.4;35.4
GG Jackson;MEM;19;21;20;100;3.5;8.0;43.5;53.3;48.2;1.9;3.9;49.2;51.8;1.6;4.1;37.9
Kentavious Caldwell-Pope;DEN;30;48;48;100;3.6;8.0;45.3;54.6;51.3;2.1;4.1;52.2;48.7;1.5;3.9;38.1
Luke Kennard;MEM;27;25;25;100;3.5;8.0;43.7;60.6;24.6;0.8;2.0;40.8;75.4;2.7;6.0;44.7
Mark Williams;CHA;22;19;19;100;5.2;8.0;64.9;64.9;100;5.2;8.0;64.9;0.0;0.0;0.0;
Dorian Finney-Smith;BKN;30;42;42;100;3.2;8.0;40.7;53.4;31.4;1.2;2.5;48.4;68.6;2.0;5.5;37.1
Rudy Gobert;MIN;31;51;51;100;5.2;7.9;64.9;64.9;99.5;5.2;7.9;65.3;0.5;0.0;0.0;0.0
Jordan Hawkins;NOP;21;47;46;100;3.2;7.9;40.4;53.1;34.2;1.2;2.7;44.1;65.8;2.0;5.2;38.5
